Category,Name,Url,Image
Bantamweight,Marlon Vera,/fighter/marlon-vera,//media.ufc.tv/fighter_images/Marlon_Vera/VERA_MARLON.png
Bantamweight,Patrick Williams,/fighter/patrick-Williams,//media.ufc.tv/fighter_images/Patrick_Williams/PatrickWilliams_Headshot.png
Bantamweight,Eddie Wineland,/fighter/eddie-Wineland,//media.ufc.tv/fighter_images/Eddie_Wineland/WINELAND_EDDIE.png
Bantamweight,Rani Yahya,/fighter/rani-Yahya,//media.ufc.tv/fighter_images/Rani_Yahya/YAHYA_RANI_AD.png
Bantamweight,Norifumi Yamamoto,/fighter/norifumi-Yamamoto,//media.ufc.tv/fighter_images/Kid_Yamamoto/YAMAMOTO_NORIFUMI.png
Bantamweight,Aiemann Zahabi,/fighter/aiemann-zahabi,//media.ufc.tv/fighter_images/Aiemann_Zahabi/ZAHABI_AIEMANN.png
Featherweight,Jose Aldo,/fighter/jose-Aldo,//media.ufc.tv/fighter_images/Jose_Aldo/ALDO_JOSE.png
Featherweight,Arnold Allen,/fighter/arnold-allen,//media.ufc.tv/fighter_images/Arnold_Allen/ALLEN_ARNOLD.png
Featherweight,Makwan Amirkhani,/fighter/makwan-amirkhani,//media.ufc.tv/fighter_images/Makwan_Amirkhani/AMIRKHANI_MAKWAN.png
Featherweight,Felipe Arantes,/fighter/felipe-Arantes,//media.ufc.tv/fighter_images//Felipe_Arante/1ARANTES_FELIPE.png
Featherweight,Julio Arce,/fighter/julio-Arce,//media.ufc.tv/fighter_images/Julio_Arce/ARCE_JULIO.png
Featherweight,Austin Arnett,/fighter/austin-Arnett,//media.ufc.tv/fighter_images/Austin_Arnett/ARNETT_AUSTIN.png
Featherweight,Humberto Bandenay,/fighter/humberto-Bandenay,//media.ufc.tv/fighter_images/Humberto_Bandenay/BANDENAY_HUMBERTO.png
Featherweight,Renan Barao,/fighter/renan-Barao,//media.ufc.tv/fighter_images/Renan_Barao/BARAO_RENAN2.png
Featherweight,Enrique Barzola,/fighter/enrique-barzola,//media.ufc.tv/fighter_images/Enrique_Barzola/BARZOLA_ENRIQUE_211.png
Featherweight,Mirsad Bektic,/fighter/mirsad-Bektic,//media.ufc.tv/fighter_images/Mirsad_Bektic/BEKTIC_MIRSAD.png
